f1,f2,target
-0.490,-0.228,A
-0.011,0.351,A
2.711,0.051,B
0.060,0.040,A
2.536,0.208,B
-0.079,-0.223,A
-0.117,-0.076,A
3.067,0.013,B
0.618,3.036,C
0.065,3.307,C
-0.502,-0.088,A
2.739,-0.090,B
0.065,3.326,C
3.279,-0.139,B
0.122,2.935,C
0.594,2.972,C
-0.027,-0.637,A
-0.784,2.996,C
0.215,2.608,C
2.828,0.790,B
3.202,-0.293,B
0.207,2.727,C
0.091,2.703,C
-0.417,0.460,A
-0.009,2.873,C
-0.520,2.972,C
0.155,2.756,C
0.088,3.017,C
0.240,2.662,C
-0.144,3.114,C
0.007,3.047,C
-0.577,-0.147,A
-0.227,0.156,A
-0.398,3.524,C
-0.719,2.776,C
-0.441,0.395,A
-0.157,2.988,C
0.203,3.705,C
3.267,-0.284,B
0.289,-0.112,A
2.985,0.009,B
-0.295,2.711,C
2.561,-0.318,B
0.176,3.357,C
0.161,-0.511,A
3.704,0.146,B
0.048,0.027,A
0.006,-0.244,A
3.325,0.267,B
2.955,0.176,B
2.821,-0.031,B
2.850,-0.201,B
-0.149,3.306,C
-0.105,0.255,A
-0.012,0.229,A
-0.205,2.987,C
-0.743,3.340,C
0.168,0.019,A
0.316,2.919,C
-0.164,2.661,C
0.419,-0.061,A
-0.212,2.978,C
0.441,3.086,C
2.830,-0.267,B
-0.237,3.750,C
-0.206,0.556,A
3.219,-0.125,B
-0.198,0.115,A
-0.543,-0.218,A
0.324,2.304,C
-0.546,3.137,C
-0.059,2.942,C
-0.116,0.167,A
0.320,2.757,C
3.352,0.271,B
2.944,-0.001,B
0.445,2.536,C
0.327,0.494,A
0.056,2.733,C
-0.014,0.134,A
3.251,-0.114,B
-0.501,2.890,C
0.046,3.480,C
0.121,0.134,A
0.117,3.493,C
-0.230,2.991,C
2.866,0.210,B
0.088,2.533,C
3.251,0.285,B
-0.132,0.277,A
3.352,-0.394,B
-0.224,0.349,A
3.336,0.176,B
0.206,3.116,C
2.372,-0.269,B
3.114,-0.087,B
0.022,-0.042,A
0.309,3.028,C
0.200,0.487,A
-0.131,3.071,C
-0.074,-0.160,A
-0.712,0.308,A
0.211,2.865,C
2.938,-0.253,B
-0.049,-0.070,A
0.157,-0.666,A
-0.269,2.813,C
2.912,0.065,B
3.779,-0.150,B
-0.000,0.526,A
0.227,2.751,C
2.979,0.374,B
3.089,0.269,B
3.425,0.267,B
-0.249,-0.352,A
-0.198,0.163,A
3.206,0.491,B
0.200,2.842,C
3.332,0.244,B
0.177,3.116,C
-0.193,0.137,A
-0.008,-0.062,A
-0.135,0.514,A
2.417,0.116,B
-0.534,-0.005,A
-0.443,-0.026,A
0.142,-0.857,A
2.839,0.443,B
-0.171,3.612,C
-0.461,-0.135,A
3.181,-0.378,B
0.480,2.683,C
0.203,2.983,C
2.840,0.072,B
0.146,2.828,C
-0.135,-0.297,A
2.643,-0.114,B
-0.288,3.087,C
3.164,0.305,B
0.748,2.663,C
0.260,0.107,A
-0.136,-0.091,A
2.757,0.182,B
0.293,3.184,C
-0.348,-0.063,A
0.607,2.668,C
-0.026,2.780,C
2.710,-0.693,B
-0.328,3.201,C
0.209,2.881,C
