# リリース対象の単一ソース。tools/release.sh と各種スクリプトがこれを読む。
#
# status
#   released     … 実データ検証済み。DMG に入れて公開する
#   experimental … 未検証 / 作りかけ。ソースは公開するが **DMG には入れない**。サポート対象外
#   blocked      … 実測で「現行 API では成立しない」と分かっているもの。記録として残す
# minos
#   そのプラグインが必要とする最低 macOS。手元の SDK より新しいものはビルドから除外される
#   (macOS 27 の新 API を使うプラグインは 27.0 にする)
#
# 追加・昇格したらこの表を直すこと。tools/release.sh が追跡フォルダとの一致を検査する。
name	status	minos
AVAudioMixer	experimental	26.0
AVAudioSpatial	experimental	26.0
AppleScript	released	26.0
AudioToolboxMix	experimental	26.0
CaptionAuthor	experimental	26.0
Cinematic	released	26.0
ColorSync	experimental	26.0
CoreAudioProcessTap	released	26.0
CoreImageBokeh	experimental	26.0
CoreImageCode	released	26.0
CoreImageEnhance	experimental	26.0
CoreImageGlass	released	26.0
CoreImageHDR	released	26.0
CoreImageKeystone	experimental	26.0
CoreImageRAW	released	26.0
CoreLocationBeacon	experimental	26.0
CoreML	released	26.0
CoreMLCHOP	released	26.0
CoreMLDAT	released	26.0
CoreMLImageGen	released	26.0
CoreMLMotion	released	26.0
CoreMLSAM2	released	26.0
CoreText	released	26.0
CoreWLAN	released	26.0
CoreWLANScan	released	26.0
CreateML	released	26.0
CreateMLTrainingRecorder	released	26.0
GameController	released	26.0
GameplayKitAgents	experimental	26.0
GameplayKitPath	experimental	26.0
ImageCapture	experimental	26.0
ImageIOFileIn	released	26.0
ImageIOMetadata	released	26.0
ImageIOPointCloud	released	26.0
ImagePlayground	released	26.0
LLMAFM	released	26.0
LLMMLX	released	26.0
MetalDenoise	released	26.0
MetalFrameInterp	experimental	26.0
MetalMPSAnalyze	experimental	26.0
MetalUpscale	released	26.0
MultipeerCHOP	released	26.0
MultipeerDAT	released	26.0
NetworkDiscovery	released	26.0
PDFKit	released	26.0
Phase	experimental	26.0
RealityKitCapture	released	26.0
ScreenCapture	released	26.0
Shazam	experimental	26.0
Shortcuts	released	26.0
SoundClass	released	26.0
SoundFeatures	released	26.0
SpatialVideo	released	26.0
SpeechActivity	blocked	26.0
SpeechSynth	released	26.0
SpeechTranscribe	released	26.0
Spotlight	released	26.0
SwiftUI	experimental	26.0
SwiftUIPanel	experimental	26.0
TextAnalyze	released	26.0
Translate	released	26.0
UIWidget	experimental	26.0
VisionAesthetics	experimental	26.0
VisionAnimalPose	released	26.0
VisionBarcode	released	26.0
VisionClassify	released	26.0
VisionContours	released	26.0
VisionDocument	released	26.0
VisionFace	released	26.0
VisionFlow	released	26.0
VisionHand	released	26.0
VisionHorizon	released	26.0
VisionPose	released	26.0
VisionPose3D	released	26.0
VisionRect	released	26.0
VisionSaliency	released	26.0
VisionSegment	experimental	26.0
VisionSimilarity	experimental	26.0
VisionSubject	released	26.0
VisionText	released	26.0
VisionTrack	experimental	26.0
VisionTrajectory	released	26.0
